127;Antminer D3 c обп;941352787;2018-10-21;13:19:00;//86.img.avito.st/640x480/4789646686.jpg,;Москва,м.Пражская;14 000;"
*цена указана за комплект с оригинальным блоком BitmainДоходность 85$ в месяцПотребление: 1.1-1.2 кВт ";videokarty;
128;Gigabyte Aorus GeForce GTX 1080 Ti Extrеm;1508340821;2018-10-21;14:18:00;//76.img.avito.st/640x480/4888710776.jpg,//98.img.avito.st/640x480/4888348698.jpg,//99.img.avito.st/640x480/4888348699.jpg,//27.img.avito.st/640x480/4888379627.jpg,//31.img.avito.st/640x480/4888379631.jpg,;Москва,м.Молодежная;28 000;"
GIGABYTE Aorus GeForce GTX 1080 Ti Extrеm Без коробок! 2штGIGABYTE Aorus GeForce GTX 1080 Ti с коробкой 1штНе разбиралась ,не прошивалась, не грелась. Проверка FurMark.  На нашем стенде. Можем подвезти и проверить у Вас. В пределах МКАД доставка 500руб. ";videokarty;
129;Видеокарта palit 1060 3gb gddr5;1606787229;2018-10-21;13:02:00;//69.img.avito.st/640x480/4851739469.jpg,//70.img.avito.st/640x480/4851739470.jpg,;Москва,м.Митино;8 000;"
С проверкой. БЕЗ ТОРГА!!!чеков нет!Доставки нет!!!!карта в идеале работает на 5 С + ";videokarty;
130;Inno 3D gtx 1060 3gb;1684057595;2018-10-21;12:55:00;//36.img.avito.st/640x480/4878924236.jpg,;Москва,м.Дмитровская;8 900;"
Продаю отличную видеокарту, любые проверки на месте, документы и коробка имеются, так же есть и другие модели. Даю время на проверку и полный возврат денежных средств в случае неисправности, обнаруженной после тестов. ";videokarty;
131;Zotac GTX 1070 Ti AMP Extreme;1322962312;2018-10-21;13:32:00;//39.img.avito.st/640x480/4890176239.jpg,//20.img.avito.st/640x480/4890176020.jpg,;Москва,м.Площадьреволюции;25 000;"
Продаю карту ZOTAC GeForce GTX 1070 Ti AMP Extreme 8GB GDDR5 256-bit. Качество 5, наработка незначительная, возможна проверка. Документы о покупке - на руках, не отдам чеки т.к. в них еще на несколько сотен тысяч комплектующих.Тем у кого нет денег и есть желание поморочить мозги - прошу не беспокоить. ";videokarty;
132;Asus geforce 210;838705997;2018-10-21;12:48:00;//08.img.avito.st/640x480/3818265808.jpg,//31.img.avito.st/640x480/3818265931.jpg,;Москва,м.Пражская;4 000;"
Видеокарта ASUS GEFORCE 210 б. у. , рабочая. С эффективным пассивным охлаждением. Соответственно вообще нет шума.Экономична, при простое компа, уменьшает частоту чипа.Идеально подходит для работы, мультимедия, интернета. ";videokarty;
133;Видеокарта Asus;1336416735;2018-10-21;13:36:00;//26.img.avito.st/640x480/4890197826.jpg,//07.img.avito.st/640x480/4890198007.jpg,;Москва,м.Трубная;240;"
Видеокарта Asus N6200/TD/128M5/OSP/AРабочая. Состояние хорошее. Есть торг. ";videokarty;
134;Inno 3d gtx 1070 ti 8 gb;1040023598;2018-10-21;13:09:00;//28.img.avito.st/640x480/4890048628.jpg,//58.img.avito.st/640x480/4890048658.jpg,//84.img.avito.st/640x480/4890048684.jpg,//83.img.avito.st/640x480/4890048683.jpg,//52.img.avito.st/640x480/4890048652.jpg,//80.img.avito.st/640x480/4890048680.jpg,;Москва,м.Свиблово;18 500;"
Топовая видео карта Состояние идеальное Свежая модель не 5 летний раритет Работает идеальноБез каких либо глюков Способна раскрыть любые игры на максимальных настройкахИмеет отличие от обычной 1070Разница в улучшении графического процессораПамять GDDR5XКомплектация оем(только карта )8 Гб GDDR 5x256 bit пропускная шинаМогу отнести к а почту для отправки в любые регионы страны за ваш счёт. Звоните пишите. ";videokarty;
135;Ферма 1080ti 6x;1324075162;2018-10-21;14:02:00;//99.img.avito.st/640x480/4666318499.jpg,;Москва,м.Юго-Западная;300 000;"
Гигабайт 1080ti 6 штуксерверный блок питания 2000wблок питания платинум 1200wоперативка 8гбssd 120gbна эфире 320 mh/sСрочно ";videokarty;
136;Gigabyte GTX 560 Ti SOC - SLI пара;1041654933;2018-10-21;12:56:00;//89.img.avito.st/640x480/4890007889.jpg,//87.img.avito.st/640x480/4890007887.jpg,//94.img.avito.st/640x480/4890007894.jpg,//91.img.avito.st/640x480/4890007891.jpg,//16.img.avito.st/640x480/4890007916.jpg,//19.img.avito.st/640x480/4890008419.jpg,;Москва,м.Фонвизинская;5 500;"
Две видеокарты Gigabyte GV-N560SO-1GI-950 Windforce Super OverClockНа базе NVIDIA GeForce GTX 560 Ti, для SLIС заводским разгоном:GPU Clock: 950 MHz (штатное 822)Shader Clock: 1900 MHz (штатное 1645)Memory Clock: 4580 MHz (штатное 4008)Общая видеопамять: 2 GB GDDR5Энергопотребление: 340 ВтРазъёмы на каждой: 2x DVI-I, Mini HDMIСвязка проверена на нагрев, стабильность и быстродействие. ";videokarty;
137;Asus GTX 1080ti strix Gaiming 11gb;1443308623;2018-10-21;13:17:00;//72.img.avito.st/640x480/4848431372.jpg,//21.img.avito.st/640x480/4848430321.jpg,//87.img.avito.st/640x480/4848430687.jpg,//45.img.avito.st/640x480/4848431045.jpg,;Москва,м.Студенческая;34 000;"
Продам видеокарты 6шт из фермы, карты в хорошем состоянии, на протяжении работы за ними велся уход и постоянные чистки, все с коробками, если кто желает ферму забрать полным комплектом, на цене сойдемся(отдам не дорого все комплектующие)!Видеокарты: 6шт Asus GTX 1080ti  STRIX Gaiming 11gb8 месяцев в работе! ";videokarty;
138;Gigabyte GeForce GTX 1050 Ti Windforce ос 4Gb;1375267968;2018-10-21;14:10:00;//06.img.avito.st/640x480/4608088906.jpg,//10.img.avito.st/640x480/4608088910.jpg,//60.img.avito.st/640x480/4608088960.jpg,//63.img.avito.st/640x480/4608088963.jpg,//26.img.avito.st/640x480/4608089526.jpg,//38.img.avito.st/640x480/4608089538.jpg,;Москва,м.ВДНХ;10 500;"
Почти как новая. Есть чек, гарантия осталась 2.5 годаСистема охлаждения Windforce.Разъем доп питания 6 пиновый.Общие характеристикиТип видеокарты  игровая Графический процессор    NVIDIA GeForce GTX 1050 Ti Код производителя    GV-N105TWF2OC-4GD Интерфейс    PCI-E 16x 3.0 Количество поддерживаемых мониторов    4 Максимальное разрешение    7680x4320 Технические характеристикиЧастота графического процессора    1328 МГц Объем видеопамяти    4096 Мб Тип видеопамяти    GDDR5 Частота видеопамяти    7008 МГц Разрядность шины видеопамяти    128 бит Разъемы    DVI-D, поддержка HDCP, HDMI x3, DisplayPort Версия HDMI    2.0b Версия DisplayPort    1.4 Поддержка CUDA    есть, версия 6.1 Поддержка Vulkan    есть Версия OpenCL    1.2 Необходимость дополнительного питания    да, 6 pin Рекомендуемая мощность блока питания    300 Вт Дополнительная информация    Gaming Mode: частота видеопроцессора Boost - 1442 МГц;    OC Mode: частота видеопроцессора - 1354 МГц (Boost - 1468 МГц) ";videokarty;
